"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
2572,"WILHELMINADORP-1                            ","NL","+51:31:59","+003:54:00",1,1866,2025
2573,"VLISSINGEN-1                                ","NL","+51:27:00","+003:36:00",8,1854,2025
8555,"WAGENINGEN - VEENKAMPEN                     ","NL","+51:58:53","+005:37:18",5,1879,2025
10961,"VOORSCHOTEN                                 ","NL","+52:08:22","+004:26:11",-1,1876,2025
10964,"VLIELAND_1                                  ","NL","+53:15:24","+004:58:23",0,1950,2025
10965,"STAVOREN_1                                  ","NL","+52:53:08","+005:21:29",1,1950,2025
10966,"LEEUWARDEN_1                                ","NL","+53:13:14","+005:45:15",1,1875,2025
10967,"WIJK_AAN_ZEE_1                              ","NL","+52:29:35","+004:36:51",6,1880,2025
10968,"MARKNESSE_1                                 ","NL","+52:42:15","+005:53:24",-2,1941,2025
10969,"HEINO_1                                     ","NL","+52:26:12","+006:15:47",5,1950,2025
10970,"LELYSTAD_(EENDENWEG)                        ","NL","+52:27:11","+005:31:41",-4,1955,2025
10971,"RDAM-WAALHAVEN                              ","NL","+51:53:35","+004:25:23",3,1908,2025
10972,"HOEK_VAN_HOLLAND_1                          ","NL","+51:59:07","+004:08:53",0,1902,2025
10973,"KRIMPEN_AAN_DE_LEK                          ","NL","+51:53:45","+004:36:56",-1,1908,2025
10974,"HUPSEL_1                                    ","NL","+52:04:05","+006:38:24",26,1879,2025
10975,"HERWIJNEN_1                                 ","NL","+51:49:22","+005:09:09",1,1871,2025
10976,"GILZE-RIJEN_1                               ","NL","+51:34:04","+004:55:59",14,1866,2025
10977,"VOLKEL_1                                    ","NL","+51:39:29","+005:42:23",21,1886,2025
10978,"ARCEN_1                                     ","NL","+51:28:59","+006:11:02",19,1941,2025
10979,"WAALRE                                      ","NL","+51:25:00","+005:28:48",18,1868,2025
10980,"KESSEL-EIK                                  ","NL","+51:16:59","+006:01:00",26,1868,2025
19205,"LEMMER                                      ","NL","+52:50:51","+005:40:45",7,1879,2025
19206,"UTRECHT                                     ","NL","+52:04:59","+005:07:59",3,1848,2025
19207,"VELP                                        ","NL","+51:58:59","+005:58:59",12,1867,2025
19208,"HEUSDEN                                     ","NL","+51:44:12","+005:08:44",13,1871,2025
20469,"'S-HERTOGENBOSCH                            ","NL","+51:41:51","+005:18:18",3,1871,2025
20470,"AALSUM BIJ DOKKUM                           ","NL","+53:19:23","+006:12:09",0,1892,2025
20471,"AARDENBURG                                  ","NL","+51:17:20","+005:58:31",3,1868,2025
20472,"AKKRUM                                      ","NL","+53:28:10","+005:49:39",0,1882,2025
20473,"ALKMAAR                                     ","NL","+52:37:50","+004:43:22",1,1866,2025
20474,"AMERSFOORT                                  ","NL","+52:09:18","+005:23:26",4,1880,2025
20475,"AMSTERDAM ANWI (FIL)                        ","NL","+52:22:14","+004:55:09",-999,1879,2025
20476,"ANDIJK                                      ","NL","+52:44:47","+005:13:18",-1,1873,2025
20478,"BAKEL (DE RIPS)                             ","NL","+51:30:00","+005:46:59",-999,1886,2025
20479,"BAKKUM                                      ","NL","+52:33:20","+004:38:09",3,1866,2025
20480,"BALINGE                                     ","NL","+52:48:42","+006:37:50",-999,1891,2025
20481,"BATHMEN                                     ","NL","+52:15:05","+006:17:54",8,1918,2025
20482,"BEETSTERZWAAG                               ","NL","+53:59:57","+005:56:56",0,1894,2025
20483,"BEMMELENHOEVE VAN PROF.                     ","NL","+52:46:59","+005:03:00",-999,1931,2025
